family_id,derivational_base,base_POS
327,imm·rádai,verb
328,immned,noun
329,immról,noun
330,immthánad,noun
331,imm·tét,verb
332,imm·trénaigedar,verb
333,imm·tuigethar,verb
334,incholnugud,noun
335,ind·árban,verb
336,in·fét,verb
337,indeb,noun
338,indírge,noun
339,ind·nëat,verb
340,ind·ocaib,verb
341,ingen,noun
342,in·gnin,verb
343,in·greinn,verb
344,inne,noun
345,insce,noun
346,intliucht,noun
347,in·samlathar,verb
348,airáil,noun
349,ar·báigi,verb
350,ara·chrin,verb
351,eres,noun
352,ar·fócair,verb
353,ar·fich,verb
354,ar·neget,verb
355,ittge,noun
356,Iúdae,noun
357,laë,noun
358,lám,noun
359,labraithir,verb
360,lánamnas,noun
361,lánae,noun
362,lann,noun
363,láthar,noun
364,legaid,verb
365,légaid,verb
366,léire,noun
367,les,noun
368,lestar,noun
369,leth,noun
370,lië,noun
371,lí,noun
372,lín,noun
373,lobaid,verb
374,lobrae,noun
375,loc,noun
376,lóg,noun
377,lucht,noun
378,tongaid,verb
379,mám,noun
380,macc,noun
381,machdad,noun
382,maigister,noun
383,móen,noun
384,martrae,noun
385,mebul,noun
386,méit,noun
387,menmmae,noun
388,meirtrech,noun
389,midithir,verb
390,míl,noun
391,míle,noun
392,miscuis,noun
393,mod,noun
394,moídid,verb
395,molaithir,verb
396,móraid,verb
397,mrath,noun
398,mug,noun
399,múinid,verb
400,muinter,noun
401,neb-,adjective
402,comalnaithir,verb
403,martu,noun
404,do·beir,verb
405,nem,noun
406,nert,noun
407,nocht,adjective
408,nóeb,adjective
409,núae,adjective
410,úar,adjective
411,óg,adjective
412,oígi,noun
413,óen,numeral
414,opar,noun
415,olc,adjective
416,omun,noun
417,úar,noun
418,ordd,noun
419,orbb,noun
420,peccad,noun
421,pían,noun
422,pendait,noun
423,persan,noun
424,popul,noun
425,preicept,noun
426,prímit,noun
427,proind,noun
428,rann,noun
429,rath,noun
430,reë,noun
431,recht,noun
432,rét,noun
433,rélaid,verb
434,ríar,noun
435,ro·icc,verb
436,rí,noun
437,reithid,verb
438,rosc,noun
439,ruccae,noun
440,rún,noun
441,sapait,noun
442,sacart,noun
443,sáeb,adjective
444,saigid,verb
445,sáegol,noun
446,sain,adjective
447,sáeth,noun
448,salm,noun
449,sant,noun
450,scaraid,verb
451,scríbaid,verb
452,seichithir,verb
453,secht,adjective
454,secndap,noun
455,sen-,prefix
456,máthair,noun
457,seinnid,verb
458,serb,adjective
459,sét,noun
460,sét,noun
461,séitig,noun
462,síans,noun
463,síd,noun
464,síol,noun
465,smacht,noun
466,so-,prefix
467,sochuide,noun
468,solus,noun
469,sóer,adjective
470,sonairt,adjective
471,spirut,noun
472,súainem,noun
473,saidid,verb
474,súil,noun
475,do·adbat,verb
476,do·aithchuireadar,verb
477,do·aithchren,verb
478,do·áirci,verb
479,do·airissedar,verb
480,tarmi·tét,verb
481,do·airngir,verb
482,talam,noun
483,do·aithaíra,verb
484,do·ecmalla,verb
485,teg,noun
486,teist,noun
487,teimel,noun
488,tempul,noun
489,do·airchomraicci,verb
490,do·immna,verb
491,do·immthiret,verb
492,do·inchoisc,verb
493,do·indnaig,verb
494,do·intai,verb
495,tír,noun
496,titul,noun
497,do·fuiben,verb
498,do·díuschi,verb
499,do·gair,verb
500,tóeb,noun
501,do·moinethar,verb
502,do·fuin,verb
503,toisc,noun
504,tol,noun
505,do·meil,verb
506,torad,noun
507,do·rorban,verb
508,toros,noun
509,tosach,noun
510,toischid,noun
511,trí,numeral
513,tróccaire,noun
514,do·fúairc,verb
515,túarae,noun
516,túath,noun
517,do·fuissim,verb
518,úabar,noun
519,úailbe,noun
520,úall,noun
521,úathad,noun
522,umaldóit,noun
523,utmuille,noun
