flexeme_id,label,lexeme,texts,etymology,inherent_properties,phonological_form
croch-174,croch,lex-croch-174,,< Latin: crux,sync_none;alt_schwa;gen_fem;stem_ā;num_all,ˈkrʷəxʷ
croch-174.1,croch,lex-croch-174,,< Latin: crux,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈkrʷəxʷ
crochad-175,crochad,lex-crochad-175,,,sync;alt_none;gen_masc;stem_u;num_all,ˈkrʷəxˠəðˠ
crott-176,crott,lex-crott-176,,,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈkrʷətʷ
cruth-177,cruth,lex-cruth-177,,*ku̯ritu- ; *ku̯ri-tu-,sync_none;alt_none;gen_masc;stem_u;num_all,ˈkrʷəθʷ
cuairt-178,cúairt,lex-cuairt-178,,,sync_none;alt_vel_stem;gen_masc;stem_i;num_all,ˈkʷaØrdʲ
cubus-179,cubus,lex-cubus-179,,com + fis,sync_pal;alt_none;gen_masc;stem_u;num_all,ˈkʷəβʷəsʷ
cuimrech-180,cuimrech,lex-cuimrech-180,,*kom-rig-o-; vn. of con·rig,sync_none;alt_none;gen_neut;stem_o;num_all,ˈkʷəμrʲəxˠ
cuindrech-181,cuindrech,lex-cuindrech-181,,vn. of con·dírig,sync_nd;alt_none;gen_neut;stem_io;num_all,ˈkʷəɴrʲəxˠ
cuingid-182,cuingid,lex-cuingid-182,,vn. of con·diëig,sync_nd;alt_none;gen_fem;stem_i;num_all,ˈkʷənɣʲəðʲ
cuit-183,cuit,lex-cuit-183,,*ku̯izdi-,sync_none;alt_none;gen_fem;stem_i;num_all,ˈkʷədʲ
cul-184,cúl,lex-cul-184,,*kūlo-,sync_none;alt_none;gen_masc;stem_o;num_all,ˈkʷəØʷlʷ
cumang-185,cumang,lex-cumang-185,79;6;7;70,,sync_nd;alt_none;gen_unk;stem_o;num_all,ˈkʷəμʷənɣˠ
cumac-185.1,cumac,lex-cumang-185,79,,sync_nd;alt_none;gen_unk;stem_o;num_all,ˈkʷəμʷəgˠ
cumachtae-186,cumachtae,lex-cumachtae-186,,,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈkʷəμʷəxtˠaØʲ
cummae-187,cummae,lex-cummae-187,,,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈkʷəmʷaØʲ
cumsanad-188,cumsanad,lex-cumsanad-188,,*kom-uss-ana-tu; vn. of con·osna,sync;alt_none;gen_masc;stem_u;num_all,ˈkʷəμsʷənˠəðˠ
cumscugud-189,cumscugud,lex-cumscugud-189,,vn. of con·oscaigi,sync_pal;alt_none;gen_masc;stem_u;num_all,ˈkʷəμskʷəɣʷəðʷ
cumtach-190,cumtach,lex-cumtach-190,,*kom-uss-teg-o-; vn. of con·utaing,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈkʷəμdʷəxˠ
cursagad-191,cúrsagad,lex-cursagad-191,79,vn. of cúrsagaid,sync_pal;alt_none;gen_masc;stem_u;num_all,ˈkʷəØʷrsˠəɣˠəðˠ
cursagad-191.1,cúrsagad,lex-cursagad-191,6,vn. of cúrsagaid,sync_none;alt_none;gen_masc;stem_u;num_all,ˈkʷəØʷrsˠəɣˠəðˠ
cutrummus-192,cutrummus,lex-cutrummus-192,,,sync_nd;alt_none;gen_masc;stem_u;num_all,ˈkʷədrʷəmʷəsʷ
dag-duine-193,dag-duine,lex-dag-duine-193,,,sync_vf;alt_none;gen_masc;stem_io;num_sg,ˈdˠaɣ-ˈðʷənʲaØʲ
dag-doini-193.1,dag-doíni,lex-dag-duine-193,,,sync_vf;alt_none;gen_masc;stem_i;num_pl,ˈdˠaɣ-ˈðʷaØʲnʲəØʲ
dag-gniom-194,dag-gníom,lex-dag-gniom-194,,compound: dag- + gním,sync_none;alt_none;gen_masc;stem_u;num_all,ˈdˠaɣ-ˈɣnʲəØʲμʷ
daltae-195,daltae,lex-daltae-195,,*to-al-ti̯o-,sync_vf;alt_none;gen_masc;stem_io;num_all,ˈdˠaldˠaØʲ
dam-196,dam,lex-dam-196,,*damo-,sync_none;alt_schwa;gen_masc;stem_o;num_all,ˈdˠaμˠ
dan-197,dán,lex-dan-197,,*dānu-,sync_none;alt_none;gen_masc;stem_u;num_all,ˈdˠaØˠnˠ
deacht-198,deächt,lex-deacht-198,,denominative (abstract): < día,sync;alt_none;gen_fem;stem_ā;num_all,ˈdʲaØʲaaxt
dead-199,deäd,lex-dead-199,79;6;7;70;81,*dīu̯edo-,sync;alt_none;gen_neut;stem_o;num_all,ˈdʲaØʲaað
dead-199.1,deäd,lex-dead-199,,*dīu̯edo-,sync;alt_none;gen_fem;stem_ā;num_all,ˈdʲaØʲaað
debuith-200,debuith,lex-debuith-200,,vn. of di·tá,sync;alt_none;gen_fem;stem_i;num_all,ˈdʲaβʷəθʲ
dechor-201,dechor,lex-dechor-201,7;79;9,,sync;alt_none;gen_neut;stem_o;num_all,ˈdʲaxʷərʷ
dechur-201.1,dechur,lex-dechor-201,6;79,,sync;alt_none;gen_neut;stem_o;num_all,ˈdʲaxʷərʷ
deide-202,déide,lex-deide-202,,denominative (collective): < dáu,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈdʲaØʲðʲaØʲ
deicsiu-203,déicsiu,lex-deicsiu-203,,*dī-in-ku̯is-ti̯on-; vn. of do·éccai,sync_vf;alt_none;gen_fem;stem_n;num_all,ˈdʲaØʲgsʲəØʷ
deimnigiud-204,deimnigiud,lex-deimnigiud-204,6;21,denominative (abstract) < deimin; vn. of deimnigidir,sync_pal;alt_none;gen_masc;stem_u;num_all,ˈdʲaμnʲəɣʲəðʷ
deimnigud-204.1,deimnigud,lex-deimnigiud-204,5,denominative (abstract) < deimin; vn. of deimnigidir,sync_pal;alt_none;gen_masc;stem_u;num_all,ˈdʲaμnʲəɣʷəðʷ
delb-205,delb,lex-delb-205,,*delu̯ā-,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈdʲalβˠ
demun-206,demun,lex-demun-206,79;6;70;5,;< Latin: daemonium < Greek: δαιμόνῐον,sync;alt_none;gen_masc;stem_o;num_all,ˈdʲaμʷənʷ
demon-206.1,demon,lex-demun-206,80;81,;< Latin: daemonium < Greek: δαιμόνῐον,sync;alt_none;gen_masc;stem_o;num_all,ˈdʲaμʷənʷ
demon-206.2,demon,lex-demun-206,5;81,;< Latin: daemonium < Greek: δαιμόνῐον,sync;alt_none;gen_neut;stem_i;num_pl,ˈdʲaμʷənʷ
denum-207,dénum,lex-denum-207,79;6,*de-gnī-mu-; vn. of do·gní,sync;alt_none;gen_masc;stem_u;num_all,ˈdʲaØnʷəμʷ
denom-207.1,dénom,lex-denum-207,7,*de-gnī-mu-; vn. of do·gní,sync;alt_none;gen_masc;stem_u;num_all,ˈdʲaØnʷəμʷ
denam-207.2,dénam,lex-denum-207,81;70,*de-gnī-mu-; vn. of do·gní,sync;alt_none;gen_masc;stem_u;num_all,ˈdʲaØʲnˠəμˠ
deoladacht-208,déoladacht,lex-deoladacht-208,,,sync_nd;alt_none;gen_fem;stem_ā;num_all,ˈdʲaØʷlˠəðˠəxtˠ
derchoiniud-209,derchoíniud,lex-derchoiniud-209,,vn. of *do·rochoíni,sync;alt_none;gen_masc;stem_u;num_all,ˈdʲarxʷaØʲnʲəðʷ
deiscipul-210,deiscipul,lex-deiscipul-210,,,sync;alt_none;gen_masc;stem_o;num_all,ˈdʲaskʲəbʷəlʷ
de-serc-211,dé-ṡerc,lex-de-serc-211,,día + serc,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈdʲaØʲ-ˈhʲarkˠ
deisimmrecht-212,deisimmrecht,lex-deisimmrecht-212,79;7,,sync_none;alt_none;gen_masc;stem_u;num_all,ˈdʲasʲəmrʲəxtˠ
deismrecht-212.1,deismrecht,lex-deisimmrecht-212,6;7,,sync_none;alt_none;gen_masc;stem_u;num_all,ˈdʲasμrʲəxtˠ
deithiden-213,deithiden,lex-deithiden-213,79;6,,sync;alt_none;gen_fem;stem_ā;num_all,ˈdʲaθʲəðʲənˠ
deithitiu-213.1,deithitiu,lex-deithiden-213,70,,sync_vf;alt_none;gen_fem;stem_n;num_all,ˈdʲaθʲədʲəØʷ
dias-214,diäs,lex-dias-214,,,sync;alt_none;gen_fem;stem_ā;num_all,ˈdʲəØʲaas
dias-215,diäs,lex-dias-215,,,sync;alt_none;gen_fem;stem_ā;num_all,ˈdʲəØʲaas
diu-216,diü,lex-diu-216,,*di̯eu̯o-,sync;alt_none;gen_masc;stem_unk;num_all,ˈdʲəØʲəØʷ
dia-217,día,lex-dia-217,,*dei̯u̯o-,sync_none;alt_none;gen_masc;stem_o;num_all,ˈdʲəØʲaØˠ
diabul-218,díabul,lex-diabul-218,79;70;21;22,< Lat. diabolus,sync_nd;alt_none;gen_masc;stem_o;num_all,ˈdʲaØβʷəlʷ
diabol-218.1,díabol,lex-diabul-218,5,< Lat. diabolus,sync_nd;alt_none;gen_masc;stem_o;num_all,ˈdʲaØβʷəlʷ
didnad-219,dídnad,lex-didnad-219,,vn. of do·dona,sync_nd;alt_none;gen_masc;stem_u;num_all,ˈdʲəØðnˠəðˠ
digal-220,dígal,lex-digal-220,,vn. of do·fich 1,sync;alt_none;gen_fem;stem_ā;num_all,ˈdʲəØɣˠəlˠ
dilgud-221,dílgud,lex-dilgud-221,,*dī-lug-o-tu-; vn. of do·luigi,sync_none;alt_none;gen_masc;stem_u;num_all,ˈdʲəØlɣʷəðʷ
diltud-222,díltud,lex-diltud-222,,*dī-slund-e-tu-;  vn. of do·sluindi,sync_nd;alt_none;gen_masc;stem_u;num_all,ˈdʲəØldʷəðʷ
dimicem-223,dímicem,lex-dimicem-223,,vn. of do·meiccethar,sync;alt_none;gen_fem;stem_ā;num_all,ˈdʲəØμʲəgʲəμˠ
dioth-224,díoth,lex-dioth-224,,*dītu-,sync_none;alt_none;gen_neut;stem_unk;num_all,ˈdʲəØʲθʷ
ditiu-225,dítiu,lex-ditiu-225,,vn. of do·eim,sync_vf;alt_none;gen_fem;stem_n;num_all,ˈdʲəØdʲəØʷ
diuitte-226,díuitte,lex-diuitte-226,,,sync_vf;alt_none;gen_fem;stem_iā;num_all,ˈdʲəØtʲaØʲ
dliged-227,dliged,lex-dliged-227,,*dlig-e-to-; vn. of dligid,sync_none;alt_none;gen_neut;stem_o;num_all,ˈdlʲəɣʲəðˠ
dlum-228,dlúm,lex-dlum-228,,*dlūmā- ;,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈdlʷəØʷμʷ
dodcad-229,dodcad,lex-dodcad-229,,,sync_nd;alt_none;gen_unk;stem_o;num_all,ˈdʷaðgˠəðˠ
doidced-229.1,doidced,lex-dodcad-229,,,sync_nd;alt_none;gen_unk;stem_o;num_all,ˈdʷaðgʲəðˠ
doguilse-230,doguilse,lex-doguilse-230,,,sync_vf;alt_none;gen_fem;stem_iā;num_all,ˈdʷaɣʷəlsʲaØʲ
doenacht-231,dóenacht,lex-doenacht-231,6;70,,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈdʷaØʲnˠəxtˠ
doinecht-231.1,doínecht,lex-doenacht-231,79,,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈdʷaØʲnʲəxtˠ
doire-232,doíre,lex-doire-232,,,sync_vf;alt_none;gen_fem;stem_iā;num_all,ˈdʷaØʲrʲaØʲ
domun-233,domun,lex-domun-233,,*duβ-no-,sync_nd;alt_none;gen_masc;stem_o;num_all,ˈdʷaμʷənʷ
drog-gniom-234,drog-gníom,lex-drog-gniom-234,,compound: droch- + gním,sync_none;alt_none;gen_masc;stem_u;num_all,ˈdrʷəɣ-ˈɣnʲəØʲμʷ
drui-235,druí,lex-drui-235,,*dru-u̯id-,sync_none;alt_none;gen_masc;stem_t;num_all,ˈdrʷəØʲ
drui-235.1,druiï,lex-drui-235,,*dru-u̯id-,sync;alt_none;gen_masc;stem_t;num_all,ˈdrʷəØʷəØʲ
du-alaig-236,du-álaig,lex-du-alaig-236,,,sync_pal;alt_none;gen_fem;stem_i;num_all,ˈdu-ˈØˠaØˠlˠəɣʲ
duil-237,dúil,lex-duil-237,,,sync_none;alt_none;gen_fem;stem_i;num_all,ˈdʷəØlʲ
duine-238,duine,lex-duine-238,,*gdoni̯o-,sync_vf;alt_none;gen_masc;stem_io;num_sg,ˈdʷənʲaØʲ
doini-238.1,doíni,lex-duine-238,,*gdoni̯o-,sync_vf;alt_none;gen_masc;stem_i;num_pl,ˈdʷaØʲnʲəØʲ
dul-239,dul,lex-dul-239,,vn téit ; *dalu-/dolu-;,sync_none;alt_none;gen_masc;stem_u;num_all,ˈdʷəlʷ
duilchinne-240,dúilchinne,lex-duilchinne-240,,,sync_vf;alt_none;gen_fem;stem_iā;num_all,ˈdʷəØlxʲəɴʲaØʲ
duthracht-241,dúthracht,lex-duthracht-241,,*dī-uφo-trank-tā-,sync_nd;alt_none;gen_fem;stem_ā;num_all,ˈdʷəØʷθrˠəxtˠ
eicen-242,éicen,lex-eicen-242,,,sync_nd;alt_none;gen_fem;stem_ā;num_all,ˈØʲaØʲgʲənˠ
eclais-243,eclais,lex-eclais-243,6;50;79;81.,< Latin: ecclēsia< Greek: ἐκκλησία,sync;alt_epen;gen_fem;stem_ī/ā;num_all,ˈØʲaglˠəsʲ
eclais-243.1,eclais,lex-eclais-243,79,< Latin: ecclēsia< Greek: ἐκκλησία,sync;alt_epen;gen_fem;stem_i;num_all,ˈØʲaglˠəsʲ
ecndach-244,écndach,lex-ecndach-244,,,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈØʲaØʲgɴˠəxˠ
ecosc-245,écosc,lex-ecosc-245,,,sync_none;alt_none;gen_neut;stem_o;num_all,ˈØʲaØgʷəskʷ
eitsecht-246,éitsecht,lex-eitsecht-246,,vn. of in·túaisi,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈØʲaØʲdsʲəxtˠ
eitsid-247,éitsid,lex-eitsid-247,,"(+ agent sufix -(th)(a)id, *-i̯ati):",sync_none;alt_none;gen_masc;stem_i;num_all,ˈØʲaØʲdsʲəðʲ
ellach-248,ellach,lex-ellach-248,,vn. of in·loing,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈØʲaʟˠəxˠ
eilned-249,éilned,lex-eilned-249,,< v. as·lena,sync_nd;alt_none;gen_masc;stem_u;num_all,ˈØʲaØʲlnʲəðˠ
eipeltu-250,eipeltu,lex-eipeltu-250,79;6,vn. of at·baill,sync_vf;alt_none;gen_fem;stem_n;num_all,ˈØʲabʲəldXXXXəØʷ
apaltu-250.1,apaltu,lex-eipeltu-250,6,vn. of at·baill,sync_vf;alt_none;gen_fem;stem_n;num_all,ˈØˠabˠəldXXXXəØʷ
eipiltiu-250.2,eipiltiu,lex-eipeltu-250,70,vn. of at·baill,sync_vf;alt_none;gen_fem;stem_n;num_all,ˈØʲabʲəldʲəØʷ
eipert-251,eipert,lex-eipert-251,,vn. of as·beir,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈØʲabʲərdˠ
eipistil-252,eipistil,lex-eipistil-252,,< Latin: epistola < Greek: ἐπῐστολή,sync;alt_none;gen_fem;stem_ī/ā;num_all,ˈØʲabʲəstʲəlʲ
epscop-253,epscop,lex-epscop-253,79;6;5;1;70;50;81,< Latin: episcopus < Greek: ἐπίσκοπος,sync_nd;alt_none;gen_masc;stem_o;num_all,ˈØʲabskʷəbʷ
espoc-253.1,espoc,lex-epscop-253,1,< Latin: episcopus < Greek: ἐπίσκοπος,sync_nd;alt_none;gen_masc;stem_o;num_all,ˈØʲaspʷəgʷ
ere-254,ere,lex-ere-254,,,sync_vf;alt_none;gen_masc;stem_io;num_all,ˈØˠərʲaØʲ
eiritic-255,eiritic,lex-eiritic-255,,,sync_none;alt_none;gen_masc;stem_unk;num_all,ˈØʲarʲədʲəgʲ
esorggon-256,esorggon,lex-esorggon-256,79,vn. of as·oirg,sync_pal;alt_none;gen_fem;stem_ā;num_all,ˈØʲasʷərgʷənʷ
esarggun-256.1,esarggun,lex-esorggon-256,6,vn. of as·oirg,sync_pal;alt_none;gen_fem;stem_ā;num_all,ˈØʲasˠərgXXXXənʷ
eiseirge-257,eiséirge,lex-eiseirge-257,,,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈØʲasʲaØʲrɣʲaØʲ
et-258,ét,lex-et-258,,,sync_none;alt_eo;gen_masc;stem_o;num_all,ˈØʲaØʲdˠ
etarcert-259,etarcert,lex-etarcert-259,79;7,vn. of etar·certa,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈØʲadˠərgXXXXərdˠ
etircert-259.1,etircert,lex-etarcert-259,6;50,vn. of etar·certa,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈØˠədʲərgXXXXərdˠ
etach-260,étach,lex-etach-260,,*en(i)-tug-o-; vn. of in·tuigethar,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈØʲaØʲdˠəxˠ
etarddibe-261,etarddibe,lex-etarddibe-261,,,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈØʲadˠərdXXXXəβʲaØʲ
etarscarad-262,etarscarad,lex-etarscarad-262,,vn. of etar·scara,sync;alt_none;gen_masc;stem_u;num_all,ˈØʲadˠərskˠərˠəðˠ
etarggnae-263,etarggnae,lex-etarggnae-263,,*enter-gnii̯o-; vn. of etar·gnín,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈØʲadˠərgnˠaØʲ
etrad-264,étrad,lex-etrad-264,,denominative (abstract): < ét,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈØʲaØʲdrˠəðˠ
exceptaid-265,exceptaid,lex-exceptaid-265,,,sync_nd;alt_none;gen_masc;stem_unk;num_all,ˈØˠəxsgʲəbdˠəðʲ
failte-266,fáilte,lex-failte-266,,< Latin: valentia/volentia [?],sync_vf;alt_none;gen_fem;stem_iā;num_all,ˈɸˠaØldʲaØʲ
faith-267,fáith,lex-faith-267,,,sync_none;alt_none;gen_masc;stem_i;num_all,ˈɸˠaØθʲ
feichem-268,féichem,lex-feichem-268,,,sync_none;alt_none;gen_masc;stem_n;num_all,ˈɸʲaØʲxʲəμˠ
fecht-269,fecht,lex-fecht-269,,,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈɸʲaxtˠ
fedb-270,fedb,lex-fedb-270,,,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈɸʲaðβˠ
felsub-271,felsub,lex-felsub-271,79,,sync_nd;alt_none;gen_masc;stem_o;num_all,ˈɸʲalsʷəβʷ
fellsam-271.1,fellsam,lex-felsub-271,81,,sync_nd;alt_none;gen_masc;stem_o;num_all,ˈɸʲaʟsˠəμˠ
fer-272,fer,lex-fer-272,,*u̯iro-,sync_none;alt_schwa;gen_masc;stem_o;num_all,ˈɸʲarˠ
fergg-273,fergg,lex-fergg-273,,,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈɸʲargˠ
fetarlaice-274,fetarlaice,lex-fetarlaice-274,,from L uetere lege,sync_vf;alt_none;gen_fem;stem_iā;num_all,ˈɸʲadˠərlˠəgʲaØʲ
fetarlaice-274.1,fetarlaice,lex-fetarlaice-274,,from L uetere lege,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈɸʲadˠərlˠəgʲaØʲ
fiach-275,fíach,lex-fiach-275,,,sync_none;alt_none;gen_masc;stem_o;num_all,ˈɸʲaØˠxˠ
fiadnaise-276,fíadnaise,lex-fiadnaise-276,,,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈɸʲaØˠðnˠəsʲaØʲ
fion-277,fíon,lex-fion-277,,< Lat. uīnum ; < L uīnum,sync_none;alt_none;gen_neut;stem_u;num_all,ˈɸʲəØʲnʷ
fior-dia-278,fíor-día,lex-fior-dia-278,,,sync_none;alt_none;gen_masc;stem_o;num_all,ˈɸʲəØʲor-ˈðʲəØʲaØˠ
firianugud-279,fíríanugud,lex-firianugud-279,,,sync_nd;alt_none;gen_masc;stem_i;num_all,ˈɸʲəØrʲaØnʷəɣʷəðʷ
firinne-280,fírinne,lex-firinne-280,,denominative (abstract): < fírión/fírián/fírén < British,sync_vf;alt_none;gen_fem;stem_iā;num_all,ˈɸʲəØrʲəɴʲaØʲ
fiurt-281,fiurt,lex-fiurt-281,,,sync_none;alt_none;gen_masc;stem_u;num_all,ˈɸʲərdʷ
fius-282,fius,lex-fius-282,,*u̯id-tu-; vn. of ro·fitir,sync_none;alt_none;gen_neut;stem_u;num_all,ˈɸʲəsʷ
fius-282.1,fius,lex-fius-282,,*u̯id-tu-; vn. of ro·fitir,sync_none;alt_none;gen_masc;stem_u;num_all,ˈɸʲəsʷ
fius-282.2,fius,lex-fius-282,,*u̯id-tu-; vn. of ro·fitir,sync_none;alt_none;gen_neut;stem_o;num_all,ˈɸʲəsʷ
flaith-283,flaith,lex-flaith-283,,*u̯lati-,sync_none;alt_none;gen_fem;stem_i;num_all,ˈɸlˠəθʲ
flaithemnacht-284,flaithemnacht,lex-flaithemnacht-284,,,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈɸlˠəθʲəμnˠəxtˠ
fled-285,fled,lex-fled-285,,,sync_none;alt_schwa;gen_fem;stem_ā;num_all,ˈɸlʲəðˠ
fochaith-286,fochaith,lex-fochaith-286,,vn. of fo·saig,sync_none;alt_none;gen_fem;stem_i;num_all,ˈɸʷaxˠəθʲ
fochunn-287,fochunn,lex-fochunn-287,,,sync_nd;alt_none;gen_masc;stem_o;num_all,ˈɸʷaxʷəɴʷ
fochraicc-288,fochraicc,lex-fochraicc-288,,vn. of fo·cren,sync_none;alt_none;gen_fem;stem_ī/ā;num_all,ˈɸʷaxrˠəkʲ
focrae-289,fócrae,lex-focrae-289,,vn. of fo·ocair,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈɸʷaØgrʷaØʲ
fuacrae-289.1,fúacrae,lex-focrae-289,,vn. of fo·ocair,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈɸʷaØgrˠaØʲ
fodaitiu-290,fodaitiu,lex-fodaitiu-290,,vn. of fo·daim,sync_vf;alt_none;gen_fem;stem_n;num_all,ˈɸʷaðˠədʲəØʷ
fognam-291,fognam,lex-fognam-291,,,sync_none;alt_none;gen_masc;stem_u;num_all,ˈɸʷaɣnˠəμˠ
fogur-292,fogur,lex-fogur-292,6;79;7,,sync;alt_none;gen_masc;stem_o;num_all,ˈɸʷaɣʷərʷ
fogor-292.1,fogor,lex-fogur-292,7,,sync;alt_none;gen_masc;stem_o;num_all,ˈɸʷaɣʷərʷ
foigde-293,foigde,lex-foigde-293,,*uφo-gu̯ed-i̯ā-,sync_vf;alt_none;gen_fem;stem_iā;num_all,ˈɸʷaɣðʲaØʲ
foilsigud-294,foilsigud,lex-foilsigud-294,,,sync;alt_none;gen_masc;stem_u;num_all,ˈɸʷalsʲəɣʷəðʷ
foirbthetu-295,foirbthetu,lex-foirbthetu-295,,,sync_vf;alt_none;gen_masc;stem_t;num_all,ˈɸʷarβθʲədXXXXəØʷ
foisitiu-296,foísitiu,lex-foisitiu-296,,*uφo-sised-ti̯on-; vn. of fo·sissedar,sync_vf;alt_none;gen_fem;stem_n;num_all,ˈɸʷaØʲsʲədʲəØʷ
folad-297,folad,lex-folad-297,7;79,,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈɸʷalˠəðˠ
folud-297.1,folud,lex-folad-297,6,,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈɸʷalʷəðʷ
forbae-298,forbae,lex-forbae-298,,*uφer-u̯i-i̯o-; vn. of for·fen,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈɸʷarβˠaØʲ
forband-299,forband,lex-forband-299,,,sync_none;alt_none;gen_neut;stem_o;num_all,ˈɸʷarβˠəɴˠ
foircenn-300,foircenn,lex-foircenn-300,79;6;7,*uφer-ku̯enno-; older compound in Milan forcan from *uφer-ku̯enn-o-,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈɸʷargʲəɴˠ
forcan-300.1,forcan,lex-foircenn-300,6,*uφer-ku̯enno-; older compound in Milan forcan from *uφer-ku̯enn-o-,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈɸʷargˠənˠ
foircital-301,foircital,lex-foircital-301,,*uφer-kan-tlo-; vn. of for·cain,sync;alt_none;gen_neut;stem_o;num_all,ˈɸʷargʲədXXXXəlˠ
foircitlaid-302,foircitlaid,lex-foircitlaid-302,,"(+ agent sufix -(th)(a)id, *-i̯ati):",sync_none;alt_none;gen_masc;stem_i;num_all,ˈɸʷargʲədlXXXXəðʲ
foirggell-303,foirggell,lex-foirggell-303,79;6;70,vn. of for·gella,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈɸʷargʲəʟˠ
forggal-303.1,forggal,lex-foirggell-303,6;81,vn. of for·gella,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈɸʷargˠəlˠ
formmat-304,formmat,lex-formmat-304,,vn. of for·moinethar; *uφer-men-to-,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈɸʷarmˠədˠ
forngaire-305,forṅgaire,lex-forngaire-305,79;6;70,vn. of for·congair,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈɸʷarŋɣˠərʲaØʲ
forgaire-305.1,forgaire,lex-forngaire-305,6;7,vn. of for·congair,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈɸʷarɣˠərʲaØʲ
foroil-306,foróil,lex-foroil-306,,,sync_nd;alt_none;gen_unk;stem_i;num_all,ˈɸʷarʷaØlʲ
fortacht-307,fortacht,lex-fortacht-307,,vn. of for·téit,sync_none;alt_none;gen_fem;stem_ā;num_all,ˈɸʷardˠəxtˠ
forus-308,forus,lex-forus-308,,*uφer-φro-u̯id-tu- (Irslinger 2002: 101),sync_nd;alt_none;gen_neut;stem_o;num_all,ˈɸʷarʷəsʷ
frecor-309,frecor,lex-frecor-309,,,sync_none;alt_none;gen_masc;stem_o;num_all,ˈɸrʲəgʷərʷ
frecrae-310,frecrae,lex-frecrae-310,,vn. of fris·gair,sync_vf;alt_none;gen_neut;stem_io;num_all,ˈɸrʲəgrˠaØʲ
freiscsiu-311,freiscsiu,lex-freiscsiu-311,79,*u̯rits-ad-ku̯is-ti̯on-; vn. of fris·acci,sync_vf;alt_none;gen_fem;stem_n;num_all,ˈɸrʲəsksʲəØʷ
freiscisiu-311.1,freiscisiu,lex-freiscsiu-311,6,*u̯rits-ad-ku̯is-ti̯on-; vn. of fris·acci,sync_vf;alt_none;gen_fem;stem_n;num_all,ˈɸrʲəskʲəsʲəØʷ
frithorggon-312,frithorggon,lex-frithorggon-312,79,vn. of fris·oirg,sync_pal;alt_none;gen_fem;stem_ā;num_all,ˈɸrʲəθʷərgʷənʷ
frithorggun-312.1,frithorggun,lex-frithorggon-312,6,vn. of fris·oirg,sync_pal;alt_none;gen_fem;stem_ā;num_all,ˈɸrʲəθʷərgʷənʷ
fuath-313,fúath,lex-fuath-313,,,sync_none;alt_none;gen_neut;stem_o;num_all,ˈɸʷaØˠθˠ
fugall-314,fugall,lex-fugall-314,79,*uφo-gistlo-; vn. of fo·gella,sync_nd;alt_none;gen_masc;stem_o;num_all,ˈɸʷəɣʷəʟˠ
fuigell-314.1,fuigell,lex-fugall-314,80,*uφo-gistlo-; vn. of fo·gella,sync_nd;alt_none;gen_masc;stem_o;num_all,ˈɸʷəɣʲəʟˠ
fuil-315,fuil,lex-fuil-315,,,sync_none;alt_none;gen_fem;stem_i;num_all,ˈɸʷəlʲ
fulang-316,fulaṅg,lex-fulang-316,79;70,vn. of fo·luigi,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈɸʷəlʷəŋɣˠ
fulach-316.1,fulach,lex-fulang-316,6;80,vn. of fo·luigi,sync_nd;alt_none;gen_neut;stem_o;num_all,ˈɸʷəlʷəxˠ
